チーム,背番号,名前,ポジション,スロット,カラー,番号色
SAGA久光スプリングス,3,北窓 絢音,OH,2,#005bab,white
SAGA久光スプリングス,4,サムディ,OP,4,#005bab,white
SAGA久光スプリングス,5,中島 咲愛,OH,,#005bab,white
SAGA久光スプリングス,6,深澤 めぐみ,OH,,#005bab,white
SAGA久光スプリングス,7,西村 弥菜美,L,L,#ffffff,black
SAGA久光スプリングス,8,平山 詩嫣,MB,6,#005bab,white
SAGA久光スプリングス,9,万代 真奈美,S,,#005bab,white
SAGA久光スプリングス,10,籾井 あき,S,,#005bab,white
SAGA久光スプリングス,11,栄 絵里香,S,1,#005bab,white
SAGA久光スプリングス,12,ストランツァリ,OH,,#005bab,white
SAGA久光スプリングス,13,吉武 美佳,OP,5,#005bab,white
SAGA久光スプリングス,14,荻野 明花,OH,,#005bab,white
SAGA久光スプリングス,15,仙波 こころ,L,,#ffffff,black
SAGA久光スプリングス,17,レングヴァイラー,OH,,#005bab,white
SAGA久光スプリングス,19,井上 未唯奈,MB,,#005bab,white
SAGA久光スプリングス,20,高橋 葵,L,,#ffffff,black
SAGA久光スプリングス,21,山下 遥華,MB,,#005bab,white
SAGA久光スプリングス,22,バムルンスック,MB,,#005bab,white
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
